Site ID,City,State/Country,Latitude,Longitude,(1) Ann. Precip. (mm),(1) Ann. Temp. (C),Soil type,(2) Sand (%),(2) Silt (%),(2) Clay (%),Exp. Duration (yr),Year established
AL01,Crossville,Alabama,34.18,-86.01,1325,16,Hartsells sandy loam,#65,#20,#15,10,1979
AL02,Auburn,Alabama,32.88,-85.81,1346,18,Pacolet sandy loam,#65,#20,#15,99,1896
Alb01,Rycroft,Alberta,55.43,-118.41,449,2,Falher clay,6,31,63,6,1989
Alb02a,Lethbridge,Alberta,49.42,-112.5,402,5,Chokio clay loam,41,27,32,78,1912
Alb02b,Lethbridge,Alberta,49.42,-112.5,402,5,Chokio clay loam,41,27,32,34,1951
Alb02c,Lethbridge,Alberta,49.42,-112.5,402,5,Chokio clay loam,41,27,32,24,1968
Arg01,Cordoba,Argentina,-32.42,-62.05,900,17,Marcos Juarez silty loam,10,65,25,17,1975
Arg02,Balcarce,Argentina,-37.45,-58.18,870,13.7,,#10,#65,#25,,1984
Arg03,Buenos Aires,Argentina,-37.52,-63.01,654,15,sandy loam,#65,#20,#15,15,1975
Aus01,Warwick,Australia,-28.12,152.06,685,17.5,Hermitage clay,11,24,65,20,1968
Aus02,Wagga Wagga,Australia,-34.54,147.64,550,*17,clay loam,#35,#38,27,10,1979
Aus03,Condobolin,Australia,-33,147,430,17.2,clay loam,#35,#38,#27,14,1979
Aus04,Warra,Australia,-26.47,150.53,*925,*17,,#27,#17,#56,10,1986
Bra01,Eldorado do Sul,Brazil,-30.5,-51.38,1440,19.4,Acrisol sandy clay loam,54,24,22,9,1985
Bri01,Dawson Creek,British Columbia,55.46,-120.21,297,-1.6,Donnelly silt loam,28,49,23,10,1978
Den01,Jutland,Denmark,55.28,9.07,*602,*8,sandy loam,#65,#20,#15,90,1895
Edi01,Edinburgh,Scotland,55.83,-3.6,*845,*7,Macmerry loam,56.7,30.3,13,24,1967
Edi02,Edinburgh,Scotland,55.83,-3.6,*845,*7,Winton sandy clay loam,53.4,30.9,15.7,24,1967
Eng01,Harpenden,England,51.63,-0.45,*594,*10,,13,67,20,123,1852
Eng03,North Yorkshire,England,53.85,-1.3,661,*9,Wothersome sandy clay loam,45,30,25,9,1971
Fra01,Essone,France,48.23,1.63,600,10.5,,#58,#20,22,15,1970
GA01,Athens,Georgia,33.56,-83.22,1246,16.5,Hiwassee loam,64,12,22,16,1978
Ger02,Giessen,Germany,51,8.64,600,9,sand,65,29.3,57,17,1980
IA01,Kanawha,Iowa,42.98,-93.64,813,7.8,Webster clay loam,21.9,44.9,33.2,36,1954
IA02,Nashua,Iowa,42.97,-92.68,825,8,Kenyon loam,31.9,45.6,22.4,,1979
IA03,Sutherland,Iowa,42.92,-95.96,711,8,Galva silty clay loam,2.6,62.2,35.2,,1956
IA04,Boone County,Iowa,42,-93.79,840,8.9,Canisteo silty clay loam,#10,#55,#35,,1992
IL01,Vienna,Illinois,37.43,-88.94,*1159,*13.7,Grantsburg silt loam,4,77,19,6,1989
IL02,Urbana,Illinois,40.06,-88.13,1004,11,Flanagan silt loam,8,67,25,69,1876
IL03,Urbana,Illinois,40.06,-88.13,1004,11,Thorp silty loam,#20,#65,#15,9,1986
IL04,Elwood,Illinois,41.2,-88.1,905,9.3,Blount silt loam,17.7,57.7,24.6,6,1975
IN01,,Indiana,41.24,-86.85,*981,*10,Tracy sandy loam,59,39,3,7,1973
IN02,,Indiana,40.13,-85.29,*1000,*10,Chalmers silty clay loam,9,59,32,7,1975
KA01,Manhattan,Kansas,39.09,-96.37,835,12.8,Muir silt loam,8,66,26,12,1974
KA02,Manhattan,Kansas,39.09,-96.37,835,12.8,Grundy silt loam,#20,#65,#15,12,1974
KA03,Manhattan,Kansas,39.09,-96.37,835,12.8,Eudora silt loam,#20,#65,#15,8,1978
KY01,Lexington,Kentucky,38.07,-84.29,1140,13,Maury silt loam,7,70,23,20,1970
MD01,Wye Mills ,Maryland,38.9,-76.05,*1116,*13,Bertie silt loam,#20,#65,#15,12,1973
MD02,Quantico,Maryland,38.37,-75.75,*1127,*13,Mattapex silt loam,#20,#65,#15,12,1973
MD03,Clarksville,Maryland,39.1,-76.79,*1063,*13,Delanco silt loam,#20,#65,#15,11,1974
MI01,East Lansing,Michigan,42.5,-85.5,782,8.6,Metea loamy sand,#80,#10,#10,19,1963
MI02,Saginaw Valley,Michigan,43.23,-84.07,788,8.6,Sims sandy clay loam,54,20,26,20,1972
MN01,Lamberton,Minnesota,44.14,-95.18,632,6.2,Webster clay loam,31,42,27,31,1960
MN02,Waseca,Minnesota,44,-93.3,790,6.9,Nicollet clay loam,40.9,32.6,26.5,11,1969
MN03,Waseca,Minnesota,44,-93.3,790,6.9,Webster clay loam,30.8,32.8,36.4,6,1975
MO01,Columbia,Missouri,38.57,-93.2,973,13,Mexico silt loam,8,75,17,100,1888
MS01,Senatobia,Mississippi,34.31,-89.57,*1393,*17,Grenada silt loam,#20,#65,#15,8,1987
MT01,Culbertson,Montana,48.36,-104.73,360,4.9,Dooley sandy loam,#65,#20,#15,9,1983
ND01,Grant County,North Dakota,46.46,-100.55,402,5,Temvik-Wilton silt loam,27.6,51.67,20.7,7,1984
ND02,Fargo,North Dakota,46.95,-96.95,503,5.1,Fargo clay,#17,#38,#45,10,1977
NE01a,Sidney,Nebraska,41.13,-102.59,380,8,Duroc silty loam,40,35,25,22,1970
NE01b,Sidney,Nebraska,41.13,-102.59,380,8,Duroc silty loam,40,35,25,22,1970
NE02,Sydney,Nebraska,41.1,-103,380,8,Alliance silt loam,37.1,40,22.9,12,1968
NE03a,Mead,Nebraska,41.24,-96.6,*771,*11,Sharpsburg silty clay loam,#10,#55,#35,10,1983
NE03b,Mead,Nebraska,41.1,-96.25,680,11,Sharpsburg silty clay loam,#18,#50,#32,16,1975
NE04,Lincoln,Nebraska,40.65,-96.47,*776,*11,Sharpsburg silty clay loam,#60,#15,#25,10,1981
Nor01,As,Norway,59.67,10.7,*740,*6,clay loam,#35,#30,#35,31,1953
Nor02,Tune,Norway,59.25,10.95,*740,*6,clay,#17,#38,#45,13,1976
OH01,Wooster,Ohio,40.8,-82,905,9.1,Wooster silt loam,25,60,15,31,1962
OH02,Hoytville,Ohio,41,-84,845,9.5,Hoytville silty clay loam,21,42,37,30,1963
OH03,South Charleston,Ohio,39.8,-83.5,952,11.9,Crosby silt loam,15,65,20,30,1963
OK01,El Reno,Oklahoma,35.4,-97.6,822,15.8,Bethany silt loam,25,52,23,11,1983
Ont01,Woodslee,Ontario,42.13,82.44,876,8.9,Brookston clay loam,28,35,37,35,1959
OR01a,Pendleton,Oregon,45.44,-118.37,420,10.2,Walla Walla silt loam,12,70,18,65,1931
OR01b,Pendleton,Oregon,45.44,-118.37,420,10.2,Walla Walla silt loam,12,70,18,44,1940
Que01,Quebec,Canada,45.84,-73.31,*940,*6.5,Neubois silt loam,27,50,23,11,1978
Sas01,Indian Head,Saskatchewan,50.32,-103.31,427,2.5,Indian Head heavy clay,16.3,20.6,63.1,30,1957
Sas02,Melfort,Saskatchewan,52.49,-104.36,410,0.8,Melfort sily clay,16.6,42,41.4,30,1957
Sas03a,Swift Current,Saskatchewan,50.17,-107.48,358,3.5,Swinton loam,30,50,20,23,1966
Sas03b,Swift Current,Saskatchewan,50.17,-107.48,358,3.5,Swinton loam,#30,#50,#20,14,1981
Sas04,Cantuar,Saskatchewan,50.17,-107.48,358,3.5,Hatton fine sandy loam,72,18,10,15,1982
Sas05,Stewart Valley,Saskatchewan,50.17,-107.48,358,3.5,Sceptre heavy clay,26,32,42,15,1982
SC01,Florence,South Carolina,34.18,-79.44,*1117,*17.4,Norfold loamy sand,#80,#10,#10,7,1979
Swe01,Uppsala,Sweden,59.93,17.93,*555,*7,clay loam,22,41,37,35,1956
TX02,Bushland,Texas,35.11,-102.05,473,14,Pullman clay loam,21.8,50,28.2,12,1982
TX03,Temple,Texas,31.49,-97.57,860,19,Houston Black clay,4.8,39,56.2,10,1983
TX04,Corpus Christi,Texas,27.66,-97.57,660,22,Orelia sandy loam,55.7,20.8,23.5,15,1979
WI01,Arlington,Wisconsin,43.18,-89.21,791,7.6,Plano silt loam,10,68,22,23,1958
WI02,Lancaster,Wisconsin,42.51,-90.42,833,7.8,Rosetta silt loam,6,77,17,24,1967
Zea01,Palmerston North,New Zealand,-40.38,175.45,*1546,*13,Tokomaru silt loam,#20,#65,#15,10,1978
