Site ID,(1) Tillage,(2) Crop,(3) Fertilizer (kg/ha/yr),Sample year,Sampling Depth (cm),Depth increment (cm),(4) SOC (%),(4) SOC (g/m^2)
KY01,n/a,sod,n/a,1975,0-5,5,2.70,
KY01,n/a,sod,n/a,1975,5-15,10,1.39,
KY01,n/a,sod,n/a,1975,15-30,15,0.79,
KY01,n/a,sod,n/a,1980,0-5,5,3.81,
KY01,n/a,sod,n/a,1980,5-15,10,1.73,
KY01,n/a,sod,n/a,1980,15-30,15,0.90,
KY01,n/a,sod,n/a,1989,0-5,5,3.11,
KY01,n/a,sod,n/a,1989,5-15,10,1.41,
KY01,n/a,sod,n/a,1989,15-30,15,1.11,
KY01,CT,corn,0,1975,0-5,5,1.33,
KY01,CT,corn,0,1975,5-15,10,1.24,
KY01,CT,corn,0,1975,15-30,15,0.68,
KY01,CT,corn,0,1980,0-5,5,1.25,
KY01,CT,corn,0,1980,5-15,10,1.38,
KY01,CT,corn,0,1980,15-30,15,0.78,
KY01,CT,corn,0,1989,0-5,5,1.31
KY01,CT,corn,0,1989,5-15,10,1.55
KY01,CT,corn,0,1989,15-30,15,0.95
KY01,CT,corn,84,1975,0-5,5,1.46
KY01,CT,corn,84,1975,5-15,10,1.40
KY01,CT,corn,84,1975,15-30,15,0.91
KY01,CT,corn,84,1980,0-5,5,1.40
KY01,CT,corn,84,1980,5-15,10,1.34
KY01,CT,corn,84,1980,15-30,15,1.01
KY01,CT,corn,84,1989,0-5,5,1.48
KY01,CT,corn,84,1989,5-15,10,1.59
KY01,CT,corn,84,1989,15-30,15,1.21
KY01,CT,corn,168,1975,0-5,5,1.57
KY01,CT,corn,168,1975,5-15,10,1.44
KY01,CT,corn,168,1975,15-30,15,0.85
KY01,CT,corn,168,1980,0-5,5,1.39
KY01,CT,corn,168,1980,5-15,10,1.34
KY01,CT,corn,168,1980,15-30,15,0.70
KY01,CT,corn,168,1989,0-5,5,1.54
KY01,CT,corn,168,1989,5-15,10,1.72
KY01,CT,corn,168,1989,15-30,15,1.12
